layer,nr,cvs,kappas,type
1,337,-5.25000000*-7.50000000,3.20000000e+01*3.20000000e+01,new_node
1,338,-5.25000000*-6.75000000,3.20000000e+01*3.20000000e+01,new_node
1,339,-5.25000000*-6.00000000,3.20000000e+01*3.20000000e+01,new_node
1,340,-5.25000000*-5.25000000,3.20000000e+01*3.20000000e+01,new_node
1,341,-5.25000000*-4.50000000,3.20000000e+01*3.20000000e+01,new_node
1,342,-5.25000000*-3.75000000,3.20000000e+01*3.20000000e+01,new_node
1,343,-5.25000000*-3.00000000,3.20000000e+01*3.20000000e+01,new_node
1,344,-5.25000000*-2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,345,-5.25000000*-1.50000000,1.60000000e+01*1.60000000e+01,new_node
1,346,-5.25000000*-0.75000000,1.60000000e+01*1.60000000e+01,new_node
1,347,-5.25000000*0.00000000,3.20000000e+01*3.20000000e+01,new_node
1,348,-5.25000000*0.75000000,3.20000000e+01*3.20000000e+01,new_node
1,349,-5.25000000*1.50000000,3.20000000e+01*3.20000000e+01,new_node
1,350,-5.25000000*2.25000000,3.20000000e+01*3.20000000e+01,new_node
1,351,-5.25000000*3.00000000,3.20000000e+01*3.20000000e+01,new_node
